0.3499999, 0, 0, 5.32819, 1.156592, 0, 603.9559, -590.0169, -1.584829, 0.01663505, 0.1455349, 33.10689, 1.763332, 1.518597, 10.96781
0.9899994, 0.3004836, -0.2471111, 13.74975, 1.19187, -0.0003289706225801479806169046, 5391.278, -595.5827, -1.584829, 0.01663505, 0.1455349, 99.09891, 1.763332, 1.505139, 11.33284
 
0.9999993, 0.3404582, -0.2441063, 13.88536, 1.192461, -0.0198894645528456025007095397, 5506.673, -595.6721, -1.584829, 0.01663505, 0.1455349, 100.1583, 1.763332, 1.504929, 11.33855
 
1.009999, 0.3804489, -0.2407017, 14.02105, 1.193051, -0.03889807091009741443872, 5623.341, -595.7615, -1.584829, 0.01663505, 0.1455349, 101.2183, 1.763332, 1.504719, 11.34425
 
1.019999, 0.4203458, -0.2368972, 14.15683, 1.193641, -0.0573313545121154916553304603, 5741.284, -595.851, -1.584829, 0.01663505, 0.1455349, 102.2789, 1.763332, 1.504508, 11.34995
 
1.029999, 0.460031, -0.2326938, 14.29268, 1.194231, -0.07516444406867148267988, 5860.5, -595.9405, -1.584829, 0.01663505, 0.1455349, 103.3401, 1.763332, 1.504298, 11.35566
 
1.039999, 0.4993823, -0.2280935, 14.4285, 1.194697, -0.0923736787619952018328, 5980.994, -596.0301, -1.584829, 0.01663505, 0.1455349, 104.4018, 1.763332, 1.504088, 11.36136
 
1.049999, 0.5382825, -0.2230996, 14.56464, 1.195413, -0.1089352932730973641852, 6102.763, -596.1198, -1.584829, 0.01663505, 0.1455349, 105.4642, 1.763332, 1.503877, 11.36706
 
1.059999, 0.5765972, -0.2177168, 14.70072, 1.196004, -0.1248267937144918766956, 6225.807, -596.2095, -1.584829, 0.01663505, 0.1455349, 106.5271, 1.763332, 1.503667, 11.37277
 
1.069999, 0.6141998, -0.2119508, 14.83689, 1.196594, -0.1400259735770461271860, 6350.131, -596.2994, -1.584829, 0.01663505, 0.1455349, 107.5906, 1.763332, 1.503457, 11.37847
 
1.079999, 0.6509541, -0.2058088, 14.97313, 1.197186, -0.1545101038455293947013046034, 6475.73, -596.3893, -1.584829, 0.01663505, 0.1455349, 108.6547, 1.763332, 1.503247, 11.38417
 
1.089999, 0.6867245, -0.1992993, 15.10944, 1.197777, -0.1682581971917052347724, 6602.607, -596.4793, -1.584829, 0.01663505, 0.1455349, 109.7193, 1.763332, 1.503036, 11.38988
 
1.099999, 0.7213758, -0.192432, 15.24583, 1.198369, -0.1812508338056236916700, 6730.764, -596.5693, -1.584829, 0.01663505, 0.1455349, 110.7844, 1.763332, 1.502826, 11.39558
 
1.109999, 0.7547692, -0.1852183, 15.38228, 1.19896, -0.1934693776364841499392, 6860.197, -596.6595, -1.584829, 0.01663505, 0.1455349, 111.8501, 1.763332, 1.502616, 11.40129
 
1.119999, 0.7867649, -0.1776706, 15.51881, 1.199552, -0.2048954538865337422484, 6990.912, -596.7497, -1.584829, 0.01663505, 0.1455349, 112.9163, 1.763332, 1.502406, 11.40699
 
1.129999, 0.8172222, -0.1698029, 15.6554, 1.200144, -0.2155118198545627459453046034, 7122.905, -596.84, -1.584829, 0.01663505, 0.1455349, 113.9831, 1.763332, 1.502195, 11.41269
 
1.139999, 0.8460006, -0.1616307, 15.79206, 1.200736, -0.2253029745263557148636, 7256.181, -596.9303, -1.584829, 0.01663505, 0.1455349, 115.0504, 1.763332, 1.501985, 11.4184
 
1.149999, 0.8729762, -0.1531707, 15.92911, 1.20158, -0.2342563777555754552229046034, 7390.8, -597.0208, -1.584829, 0.01663505, 0.1455349, 116.1187, 1.763332, 1.501775, 11.4241
 
1.159999, 0.8980063, -0.144441, 16.06647, 1.202613, -0.2423581831306477743133046034, 7526.763, -597.1112, -1.584829, 0.01663505, 0.1455349, 117.188, 1.763332, 1.501564, 11.4298
 
1.169999, 0.9209557, -0.1354609, 16.20409, 1.203773, -0.2495972438548307253745046034, 7664.077, -597.2018, -1.584829, 0.01663505, 0.1455349, 118.2583, 1.763332, 1.501354, 11.43551
 
1.179999, 0.9416918, -0.1262513, 16.34171, 1.204808, -0.2559650256618702930012, 7802.742, -597.2925, -1.584829, 0.01663505, 0.1455349, 119.3297, 1.763332, 1.501144, 11.44121
 
1.189999, 0.9600887, -0.1168344, 16.47952, 1.205906, -0.2614545618038015630584, 7942.76, -597.3831, -1.584829, 0.01663505, 0.1455349, 120.402, 1.763332, 1.500934, 11.44691
 
1.199999, 0.9760237, -0.1072335, 16.61746, 1.207005, -0.2660603659666052789302953966, 8084.136, -597.4739, -1.584829, 0.01663505, 0.1455349, 121.4754, 1.763332, 1.500723, 11.45262
 
1.209999, 0.9893793, -0.0974733, 16.75546, 1.208041, -0.2697799127041413072305046034, 8226.871, -597.5648, -1.584829, 0.01663505, 0.1455349, 122.5498, 1.763332, 1.500513, 11.45832
 
1.219999, 1, -0.08757951, 16.89365, 1.209141, -0.2726121570042195263093046034, 8370.969, -597.6557, -1.584829, 0.01663505, 0.1455349, 123.6252, 1.763332, 1.500303, 11.46403
 
1.229999, 1, -0.07757951, 17.03204, 1.210305, -0.2745578826259849222236, 8516.431, -597.7467, -1.584829, 0.01663505, 0.1455349, 124.7016, 1.763332, 1.500092, 11.46973
 
1.239999, 1, -0.06757952, 17.17037, 1.21128, -0.2756242304860980050456, 8663.266, -597.8378, -1.584829, 0.01663505, 0.1455349, 125.779, 1.763332, 1.499882, 11.47543
 
1.249999, 1, -0.05757952, 17.309, 1.212445, -0.2758241761526410543032, 8811.469, -597.929, -1.584829, 0.01663505, 0.1455349, 126.8575, 1.763332, 1.499672, 11.48114
 
